name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Dublin2,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section
Hyundai Tucson 2016 Executive,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2016-executive/39229367?campaign=3,Executive,"128,000 mi",1.7 L Diesel,Jun 2026,2016,Manual,2,Hyundai,Diesel,SUV,5,Medium Trim,5,Black,200,4.0 L/100 km,4.4 L/100 km,5.1 L/100 km,1.7 L,4.48 m,1.65 m,1.85 m,5/5,85%,71%,86%,71%,Ireland,No,"Private Seller
No rating yet","Ardara, Co. Donegal",Tucson,"€10,500",,,,,,,,,selection1
Audi Q5 40 TDI Quattro S Line 5dr S Tronic,https://www.donedeal.ie/cars-for-sale/audi-q5-40-tdi-quattro-s-line-5dr-s-tronic/39429224?campaign=3,---,"45,139 mi",2.0 L Diesel,---,2021,Automatic,---,Audi,Diesel,---,---,---,5,White,,,,,,,,,,,,,,UK,,Franchise Dealer,"Dungannon, Co. Tyrone",Q5,"£27,740",,,,,,,,,selection1
Volkswagen Passat 2013 - New NCT,https://www.donedeal.ie/cars-for-sale/volkswagen-passat-2013-new-nct/39246872?campaign=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,selection1
2018 AUDI A6 DIESEL SALOON 2.0 TDI ULTRA S- LINE,https://www.donedeal.ie/cars-for-sale/2018-audi-a6-diesel-saloon-2-0-tdi-ultra-s-line/39288229,S Line,"81,300 mi",2.0 L Diesel,Jun 2026,2018,Manual,1,Audi,Diesel,Saloon,4,Sports Trim,5,Grey,200,3.9 L/100 km,4.4 L/100 km,5.2 L/100 km,2.0 L,4.93 m,1.46 m,1.87 m,5/5,83%,86%,91%,41%,Ireland,UK,"Verified Trader
No rating yet","Derry City, Co. Derry",A6,"€22,500",,,,,,,,,selection1
Mercedes-Benz E-Class E220 D Coupe AMG Sport,https://www.donedeal.ie/cars-for-sale/mercedes-benz-e-class-e220-d-coupe-amg-sport/39476148,AMG SPORT,"137,000 km",2.0 L Diesel,Apr 2026,2018,Automatic,4,Mercedes-Benz,Diesel,Coupe,2,Sports Trim,4,Blue,200,3.7 L/100 km,4.0 L/100 km,4.5 L/100 km,2.0 L,4.83 m,1.43 m,1.86 m,5/5,90%,62%,95%,77%,Ireland,No,Independent Dealer,"Nenagh, Co. Tipperary",E-Class,"€28,950",425 L,10 cm,Co. Tipperary,,,,,,selection1
Audi Q5 2013 S line,https://www.donedeal.ie/cars-for-sale/audi-q5-2013-s-line/39341197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,selection1
"Suzuki Swift 2017, Auto, Incredibly Low Mileage",https://www.donedeal.ie/cars-for-sale/suzuki-swift-2017-auto-incredibly-low-mileage/39451421,SZ5,"27,654 km",1.2 L Petrol Hybrid,Oct 2025,2017,Automatic,3,Suzuki,Petrol Hybrid,Hatchback,5,Luxury Trim,5,Black,200,4.2 L/100 km,4.5 L/100 km,4.9 L/100 km,1.2 L,3.84 m,1.50 m,1.74 m,3/5,75%,25%,83%,69%,Ireland,Unknown country,"Private Seller
No rating yet","Greystones, Co. Wicklow",Swift,"€11,000",265 L,12 cm,,,,,,,selection1
Skoda Elroq 85,https://www.donedeal.ie/cars-for-sale/skoda-elroq-85/39396276,---,0 km,Electric,---,2025,Automatic,---,,Electric,SUV,---,---,---,Green,,,,,,,,,,,,,,,,"Franchise Dealer
4.7/5",Co. Kilkenny,Elroq,"€51,129",,,Co. Kilkenny,,,,,,selection1
Peugeot 3008 1.5 Bluehdi 130bhp Auto 6.4 GT,https://www.donedeal.ie/cars-for-sale/peugeot-3008-1-5-bluehdi-130bhp-auto-6-4-gt/38873179,GT,"19,448 km",1.5 L Diesel,Jan 2028,2024,Automatic,1,Peugeot,Diesel,MPV,4,Luxury Trim,5,Grey,270,,5.3 L/100 km,,1.5 L,4.45 m,,1.84 m,5/5,85%,58%,86%,67%,Ireland,No,"Franchise Dealer
4.5/5",Co. Dublin,3008,"€40,995",,,Co. Dublin,,,,,,selection1
Toyota Yaris 1.0 Luna 4DR,https://www.donedeal.ie/cars-for-sale/toyota-yaris-1-0-luna-4dr/39457553,Luna,"80,000 km",1.0 L Petrol,Jun 2026,2016,Manual,2,Toyota,Petrol,Hatchback,4,Medium Trim,5,Blue,180,3.8 L/100 km,4.3 L/100 km,5.2 L/100 km,1.0 L,3.95 m,1.51 m,1.70 m,5/5,81%,86%,89%,60%,Ireland,No,Franchise Dealer,"Macroom, Co. Cork",Yaris,"€13,000",768 L,14 cm,Co. Cork,42 L,,,,,selection1
