name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Current_Country_Of_Reg,Imported,County,Independant_Dealer,Dublin2,Model,Price,Engine_Size,External_Length,Fuel_Tank_Capacity,External_Width,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,External_Height,Boot_Volume,Ground_Clearance,Euro_NCAP_Overall_Safety_Rating,Engine_Power,Top_Speed,Acceleration,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Battery_Capacity
2016 Audi A3 1.4TFSI AUTO SLINE SPEC 1YR WARRANTY,https://www.donedeal.ie/cars-for-sale/2016-audi-a3-1-4tfsi-auto-sline-spec-1yr-warranty/39483327?campaign=3,S Line,"128,129 km",1.4 L Petrol,May 2027,2016,Automatic,1,Audi,Petrol,Saloon,4,---,5,White,0,Ireland,Unknown,Co. Dublin,Independent Dealer,Co. Dublin,A3,"€16,890",,,,,,,,,,,,,,,,,,,
BMW 2 Series 218D Auto Sport Gran Coupe,https://www.donedeal.ie/cars-for-sale/bmw-2-series-218d-auto-sport-gran-coupe/39005349?campaign=3,Sport,"140,000 km",2.0 L Diesel,Feb 2027,2021,Automatic,1,BMW,Diesel,Saloon,4,Base Trim,5,Grey,,Ireland,No,Co. Dublin,Independent Dealer,Co. Dublin,2-Series,"€25,750",2.0 L,4.53 m,42 L,1.80 m,,,,,,,,,,,,,,,
"BMW 118i SPORT AUTO, 2017",https://www.donedeal.ie/cars-for-sale/bmw-118i-sport-auto-2017/37886264?campaign=3,Sport,"32,000 km",1.6 L Petrol,Sep 2026,2017,Automatic,1,BMW,Petrol,Hatchback,5,Sports Trim,5,White,270,Ireland,Unknown,Co. Monaghan,Independent Dealer,"Castleblaney, Co. Monaghan",1-Series,"€18,250",1.6 L,4.33 m,52 L,1.77 m,4.5 L/100 km,5.3 L/100 km,6.5 L/100 km,1.44 m,"1,200 L",14 cm,5/5,,,,,,,,
Hyundai Ioniq 5 AWD 73kw Premium Plus awd call Jo,https://www.donedeal.ie/cars-for-sale/hyundai-ioniq-5-awd-73kw-premium-plus-awd-call-jo/39362497,Premium Plus,"44,410 km",430 km (WLTP) Electric,Feb 2026,2022,Automatic,1,Hyundai,Electric,MPV,5,Luxury Trim,5,Black,120,Ireland,No,,Franchise Dealer,"Sandyford, Co. Dublin",IONIQ 5,"€34,950",,4.64 m,,1.89 m,,,,,,,,306 hp,185 km/h,5.2 sec,,,,,
Hyundai INSTER Elegance 49kw,https://www.donedeal.ie/cars-for-sale/hyundai-inster-elegance-49kw/38537318,---,0 km,Electric,---,2025,Automatic,---,,Electric,Hatchback,5,---,---,---,,,,Co. Dublin,Franchise Dealer,"Swords, Co. Dublin",INSTER,"€23,550",,,,,,,,,,,,,,,,,,,
Skoda Octavia Combi Style 1.0tsi 115HP,https://www.donedeal.ie/cars-for-sale/skoda-octavia-combi-style-1-0tsi-115hp/39280598,Style,"90,020 km",1.0 L Petrol,Jan 2026,2020,Manual,1,Skoda,Petrol,Estate,4,Medium Trim,5,Grey,200,Ireland,No,,Franchise Dealer,"Castleisland, Co. Kerry",Octavia,"€19,950",1.0 L,4.67 m,50 L,1.81 m,4.2 L/100 km,4.8 L/100 km,5.6 L/100 km,1.47 m,"1,740 L",14 cm,5/5,,,,88%,79%,92%,73%,
Audi A3 S-Line 2017,https://www.donedeal.ie/cars-for-sale/audi-a3-s-line-2017/39362487,---,"147,000 km",1.6 L Diesel,Mar 2027,2017,Automatic,1,Audi,Diesel,Hatchback,5,---,5,White,190,Ireland,UK,,"Private Seller
No rating yet","Dundrum, Co. Dublin",A3,"€18,000",1.6 L,4.31 m,,1.79 m,3.5 L/100 km,3.9 L/100 km,4.6 L/100 km,1.43 m,"1,220 L",,5/5,,,,87%,86%,95%,74%,
BYD DOLPHIN Design 60kwh 204PS - Reversing Camera,https://www.donedeal.ie/cars-for-sale/byd-dolphin-design-60kwh-204ps-reversing-camera/35689896,---,---,Electric,---,2025,Automatic,---,,Electric,Hatchback,5,---,---,Grey,,,,Co. Dublin,Franchise Dealer,"Cabra, Co. Dublin",DOLPHIN,"€33,142",,,,,,,,,,,,,,,,,,,
Citroen C4 MAX Automatic Deisel From 113 Per Week,https://www.donedeal.ie/cars-for-sale/citroen-c4-max-automatic-deisel-from-113-per-week/38581488,---,1 km,1.5 L Diesel,Feb 2029,2025,Automatic,---,Citroen,Diesel,Hatchback,---,---,---,---,,,,Co. Waterford,"Franchise Dealer
4.6/5",Co. Waterford,C4,"€38,990",,,,,,,,,,,,,,,,,,,
Ford grand Cmax 1.5 diesel..newNCT10/26andTAX07/26,https://www.donedeal.ie/cars-for-sale/ford-grand-cmax-1-5-diesel-newnct10-26andtax07-26/39148621,Zetec,"213,000 km",1.5 L Diesel,Oct 2026,2016,Manual,3,Ford,Diesel,MPV,5,Base Trim,7,Red,200,Ireland,UK,,"Private Seller
5.0/5 (1)","North County, Co. Dublin",Grand C-Max,"€6,950",1.5 L,4.52 m,,1.83 m,4.1 L/100 km,4.4 L/100 km,4.9 L/100 km,1.68 m,"1,715 L",,5/5,,,,81%,71%,96%,50%,
