Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
Executive,205995.52,1.7 L Diesel,Jun 2026,2016.0,Manual,2,Hyundai,Diesel,SUV,5,Medium Trim,5,Black,200.0,4.0 L/100 km,4.4 L/100 km,5.1 L/100 km,1.7 L,4.48 m,1.65 m,1.85 m,5/5,85%,71%,86%,71%,Ireland,No,"Private Seller
No rating yet","Ardara, Co. Donegal",Tucson,10500.0,,,,,,,,,selection1,Hyundai Tucson,0.1600852272727273,2,2
---,72643.99826,2.0 L Diesel,---,2021.0,Automatic,---,Audi,Diesel,---,---,---,5,White,,,,,,,,,,,,,,UK,,Franchise Dealer,"Dungannon, Co. Tyrone",Q5,32455.8,,,,,,,,,selection1,Audi Q5,0.2142518939393939,1,3
S Line,130839.342,2.0 L Diesel,Jun 2026,2018.0,Manual,1,Audi,Diesel,Saloon,4,Sports Trim,5,Grey,200.0,3.9 L/100 km,4.4 L/100 km,5.2 L/100 km,2.0 L,4.93 m,1.46 m,1.87 m,5/5,83%,86%,91%,41%,Ireland,UK,"Verified Trader
No rating yet","Derry City, Co. Derry",A6,22500.0,,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
SZ5,27654.0,1.2 L Petrol Hybrid,Oct 2025,2017.0,Automatic,3,Suzuki,Petrol Hybrid,Hatchback,5,Luxury Trim,5,Black,200.0,4.2 L/100 km,4.5 L/100 km,4.9 L/100 km,1.2 L,3.84 m,1.50 m,1.74 m,3/5,75%,25%,83%,69%,Ireland,Unknown country,"Private Seller
No rating yet","Greystones, Co. Wicklow",Swift,11000.0,265 L,12 cm,,,,,,,selection1,Suzuki Swift,-0.1534090909090909,1,1
GT,19448.0,1.5 L Diesel,Jan 2028,2024.0,Automatic,1,Peugeot,Diesel,MPV,4,Luxury Trim,5,Grey,270.0,,5.3 L/100 km,,1.5 L,4.45 m,,1.84 m,5/5,85%,58%,86%,67%,Ireland,No,"Franchise Dealer
4.5/5",Co. Dublin,3008,40995.0,,,Co. Dublin,,,,,,selection1,Peugeot 3008,0.3333333333333333,2,4
Luna,80000.0,1.0 L Petrol,Jun 2026,2016.0,Manual,2,Toyota,Petrol,Hatchback,4,Medium Trim,5,Blue,180.0,3.8 L/100 km,4.3 L/100 km,5.2 L/100 km,1.0 L,3.95 m,1.51 m,1.70 m,5/5,81%,86%,89%,60%,Ireland,No,Franchise Dealer,"Macroom, Co. Cork",Yaris,13000.0,768 L,14 cm,Co. Cork,42 L,,,,,selection1,Toyota Yaris,0.35,2,4
R-Line,20800.0,1.0 L Petrol,Jul 2026,2022.0,Manual,2,Volkswagen,Petrol,Hatchback,5,Sports Trim,5,White,190.0,,5.2 L/100 km,,1.0 L,4.07 m,,1.75 m,5/5,85%,59%,96%,76%,Ireland,No,"Franchise Dealer
4.6/5",Co. Galway,Polo,24945.0,"1,125 L",,Co. Galway,40 L,,,,,selection1,Volkswagen Polo,0.3681818181818181,2,1
Premium,18461.0,1.6 L Petrol Plug-in Hybrid,Aug 2027,2023.0,Automatic,1,Hyundai,Petrol Plug-in Hybrid,SUV,5,Medium Trim,7,Grey,,,,,1.6 L,4.79 m,1.71 m,1.90 m,5/5,88%,76%,94%,67%,Ireland,No,Franchise Dealer,Co. Kerry,Santa Fe,57950.0,"1,695 L",18 cm,Co. Kerry,47 L,265 hp,187 km/h,13.8 kWh,8.8 sec,selection1,Hyundai Santa Fe,0.3415223665223665,2,4
Ambition,320000.0,1.6 L Diesel,Mar 2027,2016.0,Manual,3,Skoda,Diesel,Saloon,4,Medium Trim,5,Silver,180.0,3.5 L/100 km,4.1 L/100 km,5.2 L/100 km,1.6 L,4.66 m,1.46 m,1.81 m,,,,,,Ireland,No,"Private Seller
No rating yet","North County, Co. Dublin",Octavia,6250.0,,,,,,,,,selection1,Skoda Octavia,0.1167956349206348,1,2
Luna,105000.0,1.6 L Diesel,Mar 2027,2017.0,Manual,2,Toyota,Diesel,Saloon,4,Medium Trim,5,Grey,190.0,3.6 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.75 m,1.48 m,1.81 m,,,,,,Ireland,No,"Private Seller
No rating yet","Ballina, Co. Mayo",Avensis,13100.0,,,,60 L,,,,,selection1,Toyota Avensis,0.0589657738095238,1,2
N,153000.0,1.0 L Petrol,Jan 2025,2006.0,Manual,3,Toyota,,,,,,,199.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet",Co. Dublin,Yaris,1995.0,,,,,,,,,selection1,Toyota Yaris,0.35,2,4
SV,12716.0,1.0 L Petrol,May 2027,2021.0,Manual,2,Nissan,Petrol,Hatchback,4,Medium Trim,5,Red,200.0,,5.5 L/100 km,,1.0 L,4.00 m,1.46 m,1.74 m,4/5,79%,49%,91%,68%,Ireland,No,"Private Seller
No rating yet","Kilmallock, Co. Limerick",Micra,17500.0,,,,,,,,,selection1,Nissan Micra,0.1895833333333333,2,3
S LINE,281132.38592,2.0 L Diesel,Jun 2025,2012.0,Automatic,2,Audi,Diesel,Saloon,4,Sports Trim,5,Black,280.0,4.4 L/100 km,5.0 L/100 km,6.0 L/100 km,2.0 L,4.92 m,1.45 m,1.87 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Swords, Co. Dublin",A6,9150.0,,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
-,137742.0,1.5 L Petrol Hybrid,Dec 2025,2016.0,Automatic,3,Toyota,Petrol Hybrid,Hatchback,5,Base Trim,5,Silver,170.0,3.7 L/100 km,3.9 L/100 km,3.9 L/100 km,1.5 L,4.48 m,1.49 m,1.75 m,5/5,82%,86%,88%,68%,Ireland,Unknown country,"Private Seller
No rating yet","Tullamore, Co. Offaly",Aqua,7999.0,"1,120 L",,,,,,,,selection1,Toyota Aqua,0.1964285714285714,2,3
N,156377.0,1.2 L Petrol,Jan 2026,2010.0,Manual,4,Hyundai,,,,,,,200.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Enniscorthy, Co. Wexford",i10,2500.0,,,,,,,,,selection1,Hyundai i10,0.2582465277777777,2,3
